Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuels,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
Electricity,5.5,5.699,5.896,6.091,6.284,6.476,6.665,6.852,7.038,7.221,7.403,7.853,8.292,8.72,9.137,9.544,9.94,10.327,10.704,11.071,11.43,11.779,12.12,12.452,12.776,13.091,13.399,13.699,13.992,14.277,14.556
Heat - space,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
Heat - water,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
Coal and coal products - electrifiable,15.0,14.85,14.702,14.554,14.409,14.265,14.122,13.981,13.841,13.703,13.566,13.227,12.896,12.574,12.259,11.953,11.654,11.363,11.078,10.802,10.531,10.268,10.011,9.761,9.517,9.279,9.047,8.821,8.601,8.386,8.176
Natural gas - electrifiable,0.95,0.94,0.931,0.922,0.913,0.903,0.894,0.885,0.877,0.868,0.859,0.838,0.817,0.796,0.776,0.757,0.738,0.72,0.702,0.684,0.667,0.65,0.634,0.618,0.603,0.588,0.573,0.559,0.545,0.531,0.518
Oil and petroleum products - electrifiable,50.4,49.896,49.397,48.903,48.414,47.93,47.451,46.976,46.506,46.041,45.581,44.441,43.33,42.247,41.191,40.161,39.157,38.178,37.224,36.293,35.386,34.501,33.639,32.798,31.978,31.178,30.399,29.639,28.898,28.175,27.471
Coal and coal products - hydrogenizable,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.925,14.85,14.776,14.702,14.629,14.556,14.483,14.41,14.338,14.267,13.981,13.702,13.428,13.159,12.896,12.638,12.385,12.138,11.895,11.657
Natural gas - hydrogenizable,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.945,0.941,0.936,0.931,0.926,0.922,0.917,0.913,0.908,0.904,0.885,0.868,0.85,0.833,0.817,0.8,0.784,0.769,0.753,0.738
Oil and petroleum products - hydrogenizable,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.148,49.897,49.648,49.4,49.153,48.907,48.662,48.419,48.177,47.936,46.977,46.038,45.117,44.215,43.33,42.464,41.614,40.782,39.966,39.167
