Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuels,76.6,76.983,77.368,77.755,78.144,78.534,78.927,79.322,79.718,80.117,80.517,80.719,80.92,81.123,81.326,81.529,81.733,81.937,82.142,82.347,82.553,82.759,82.966,83.174,83.382,83.59,83.799,84.009,84.219,84.429,84.64
Electricity,257.9,261.48,265.066,268.658,272.257,275.863,279.475,283.094,286.72,290.353,293.993,299.071,304.086,309.039,313.93,318.761,323.534,328.248,332.906,337.508,342.055,346.549,350.99,355.38,359.719,364.008,368.248,372.441,376.586,380.686,384.74
Hydrogen,124.8,125.424,126.051,126.681,127.315,127.951,128.591,129.234,129.88,130.53,131.182,131.955,132.728,133.503,134.278,135.054,135.83,136.608,137.387,138.166,138.946,141.028,143.085,145.117,147.124,149.108,151.068,153.006,154.921,156.813,158.685
Heat - space,45.76,45.989,46.219,46.45,46.682,46.915,47.15,47.386,47.623,47.861,48.1,48.22,48.341,48.462,48.583,48.704,48.826,48.948,49.071,49.193,49.316,49.44,49.563,49.687,49.811,49.936,50.061,50.186,50.311,50.437,50.563
Heat - water,11.44,11.497,11.555,11.612,11.671,11.729,11.788,11.846,11.906,11.965,12.025,12.055,12.085,12.115,12.146,12.176,12.207,12.237,12.268,12.298,12.329,12.36,12.391,12.422,12.453,12.484,12.515,12.546,12.578,12.609,12.641
Coal and coal products - electrifiable,129.9,129.244,128.591,127.942,127.296,126.653,126.013,125.377,124.744,124.114,123.487,121.32,119.191,117.099,115.044,113.025,111.041,109.093,107.178,105.297,103.449,101.633,99.85,98.097,96.376,94.684,93.023,91.39,89.786,88.211,86.662
Natural gas - electrifiable,94.35,93.874,93.399,92.928,92.459,91.992,91.527,91.065,90.605,90.147,89.692,88.118,86.572,85.052,83.56,82.093,80.652,79.237,77.846,76.48,75.138,73.819,72.524,71.251,70.0,68.772,67.565,66.379,65.214,64.07,62.945
Oil and petroleum products - electrifiable,28.95,28.804,28.658,28.514,28.37,28.226,28.084,27.942,27.801,27.66,27.521,27.038,26.563,26.097,25.639,25.189,24.747,24.313,23.886,23.467,23.055,22.65,22.253,21.862,21.479,21.102,20.731,20.368,20.01,19.659,19.314
Coal and coal products - hydrogenizable,43.3,43.516,43.734,43.953,44.173,44.393,44.615,44.838,45.063,45.288,45.514,45.4,45.286,45.172,45.059,44.945,44.833,44.72,44.608,44.495,44.384,43.605,42.839,42.088,41.349,40.623,39.91,39.21,38.522,37.846,37.182
Natural gas - hydrogenizable,31.45,31.607,31.765,31.924,32.084,32.244,32.405,32.567,32.73,32.894,33.058,32.975,32.892,32.81,32.727,32.645,32.563,32.481,32.4,32.318,32.237,31.671,31.116,30.569,30.033,29.506,28.988,28.479,27.979,27.488,27.006
Oil and petroleum products - hydrogenizable,9.65,9.698,9.747,9.795,9.844,9.894,9.943,9.993,10.043,10.093,10.144,10.118,10.093,10.067,10.042,10.017,9.992,9.966,9.941,9.916,9.892,9.718,9.547,9.38,9.215,9.053,8.895,8.738,8.585,8.434,8.286
