Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuels,76.6,76.983,77.368,77.755,78.144,78.534,78.927,79.322,79.718,80.117,80.517,80.719,80.92,81.123,81.326,81.529,81.733,81.937,82.142,82.347,82.553,82.759,82.966,83.174,83.382,83.59,83.799,84.009,84.219,84.429,84.64
Electricity,257.9,261.48,265.066,268.658,272.257,275.863,279.475,283.094,286.72,290.353,293.993,301.243,308.331,315.263,322.042,328.673,335.16,341.507,347.717,353.796,359.746,365.571,371.275,376.861,382.333,387.693,392.946,398.093,403.139,408.085,412.935
Hydrogen,124.8,125.424,126.051,126.681,127.315,127.951,128.591,129.234,129.88,130.53,131.182,132.844,134.494,136.131,137.756,139.368,140.969,142.559,144.136,145.703,147.258,149.978,152.64,155.245,157.796,160.294,162.739,165.135,167.481,169.781,172.034
Heat - space,45.76,45.989,46.219,46.45,46.682,46.915,47.15,47.386,47.623,47.861,48.1,48.22,48.341,48.462,48.583,48.704,48.826,48.948,49.071,49.193,49.316,49.44,49.563,49.687,49.811,49.936,50.061,50.186,50.311,50.437,50.563
Heat - water,11.44,11.497,11.555,11.612,11.671,11.729,11.788,11.846,11.906,11.965,12.025,12.055,12.085,12.115,12.146,12.176,12.207,12.237,12.268,12.298,12.329,12.36,12.391,12.422,12.453,12.484,12.515,12.546,12.578,12.609,12.641
Coal and coal products - electrifiable,129.9,129.244,128.591,127.942,127.296,126.653,126.013,125.377,124.744,124.114,123.487,120.082,116.771,113.551,110.42,107.375,104.414,101.535,98.735,96.012,93.365,90.79,88.287,85.852,83.485,81.183,78.944,76.767,74.65,72.592,70.59
Natural gas - electrifiable,94.35,93.874,93.399,92.928,92.459,91.992,91.527,91.065,90.605,90.147,89.692,87.219,84.814,82.475,80.201,77.989,75.839,73.747,71.714,69.736,67.813,65.943,64.125,62.357,60.637,58.965,57.339,55.758,54.221,52.725,51.272
Oil and petroleum products - electrifiable,28.95,28.804,28.658,28.514,28.37,28.226,28.084,27.942,27.801,27.66,27.521,26.762,26.024,25.306,24.609,23.93,23.27,22.628,22.004,21.398,20.808,20.234,19.676,19.133,18.606,18.093,17.594,17.109,16.637,16.178,15.732
Coal and coal products - hydrogenizable,43.3,43.516,43.734,43.953,44.173,44.393,44.615,44.838,45.063,45.288,45.514,44.944,44.38,43.824,43.274,42.732,42.196,41.667,41.145,40.629,40.119,39.013,37.937,36.891,35.874,34.885,33.923,32.987,32.078,31.193,30.333
Natural gas - hydrogenizable,31.45,31.607,31.765,31.924,32.084,32.244,32.405,32.567,32.73,32.894,33.058,32.644,32.235,31.83,31.431,31.037,30.648,30.264,29.885,29.51,29.14,28.336,27.555,26.795,26.056,25.338,24.639,23.96,23.299,22.656,22.032
Oil and petroleum products - hydrogenizable,9.65,9.698,9.747,9.795,9.844,9.894,9.943,9.993,10.043,10.093,10.144,10.016,9.891,9.767,9.644,9.523,9.404,9.286,9.17,9.055,8.941,8.695,8.455,8.222,7.995,7.775,7.56,7.352,7.149,6.952,6.76
