Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuels,76.6,76.983,77.368,77.755,78.144,78.534,78.927,79.322,79.718,80.117,80.517,80.719,80.92,81.123,81.326,81.529,81.733,81.937,82.142,82.347,82.553,82.759,82.966,83.174,83.382,83.59,83.799,84.009,84.219,84.429,84.64
Electricity,257.9,261.48,265.066,268.658,272.257,275.863,279.475,283.094,286.72,290.353,293.993,296.899,299.797,302.686,305.566,308.437,311.299,314.153,316.998,319.835,322.663,325.484,328.296,331.1,333.897,336.685,339.466,342.239,345.005,347.763,350.514
Hydrogen,124.8,125.424,126.051,126.681,127.315,127.951,128.591,129.234,129.88,130.53,131.182,131.733,132.284,132.837,133.392,133.948,134.505,135.063,135.623,136.185,136.748,137.979,139.206,140.43,141.651,142.868,144.081,145.291,146.498,147.702,148.902
Heat - space,45.76,45.989,46.219,46.45,46.682,46.915,47.15,47.386,47.623,47.861,48.1,48.22,48.341,48.462,48.583,48.704,48.826,48.948,49.071,49.193,49.316,49.44,49.563,49.687,49.811,49.936,50.061,50.186,50.311,50.437,50.563
Heat - water,11.44,11.497,11.555,11.612,11.671,11.729,11.788,11.846,11.906,11.965,12.025,12.055,12.085,12.115,12.146,12.176,12.207,12.237,12.268,12.298,12.329,12.36,12.391,12.422,12.453,12.484,12.515,12.546,12.578,12.609,12.641
Coal and coal products - electrifiable,129.9,129.244,128.591,127.942,127.296,126.653,126.013,125.377,124.744,124.114,123.487,122.558,121.636,120.72,119.812,118.91,118.016,117.127,116.246,115.371,114.503,113.642,112.786,111.938,111.095,110.259,109.43,108.606,107.789,106.978,106.173
Natural gas - electrifiable,94.35,93.874,93.399,92.928,92.459,91.992,91.527,91.065,90.605,90.147,89.692,89.017,88.347,87.683,87.023,86.368,85.718,85.073,84.433,83.797,83.167,82.541,81.92,81.303,80.692,80.084,79.482,78.884,78.29,77.701,77.116
Oil and petroleum products - electrifiable,28.95,28.804,28.658,28.514,28.37,28.226,28.084,27.942,27.801,27.66,27.521,27.314,27.108,26.904,26.702,26.501,26.301,26.103,25.907,25.712,25.519,25.327,25.136,24.947,24.759,24.573,24.388,24.204,24.022,23.841,23.662
Coal and coal products - hydrogenizable,43.3,43.516,43.734,43.953,44.173,44.393,44.615,44.838,45.063,45.288,45.514,45.514,45.514,45.514,45.513,45.513,45.513,45.512,45.512,45.512,45.512,45.169,44.829,44.492,44.157,43.825,43.495,43.168,42.843,42.52,42.2
Natural gas - hydrogenizable,31.45,31.607,31.765,31.924,32.084,32.244,32.405,32.567,32.73,32.894,33.058,33.058,33.058,33.058,33.058,33.057,33.057,33.057,33.057,33.056,33.056,32.808,32.561,32.316,32.072,31.831,31.592,31.354,31.118,30.884,30.651
Oil and petroleum products - hydrogenizable,9.65,9.698,9.747,9.795,9.844,9.894,9.943,9.993,10.043,10.093,10.144,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.067,9.991,9.916,9.841,9.767,9.693,9.621,9.548,9.476,9.405
